American Elm,Ulmus americana,0.50,1
American hemlock,Tsuga canadensis,0.40,
American Holly,Ilex opaca,0.55,3
American Tornbeam,Carpinus caroliniana,0.64,
American Larch,Larix laricina,0.53,
American Light Cordia,Cordia alliodora,0.51,
American Lime,Tilia americana,0.37,
American Lime,Tilia americana,0.37,
American Mahogany,Swietenia macrophylla,0.47,
American Pitch Pine,Pinus elliottii,0.59,
American Pitch Pine,Pinus palustris,0.59,
American Plain,Platanus occidentalis,0.49,
American Plane,Platanus occidentalis,0.49,
American Planetree,Platanus occidentalis,0.49,
American Red Gum,Liquidambar styraciflua,0.52,
American Red Oak,Quercus rubra,0.63,
American Red Pine,Pinus resinosa,0.46,
American Styrax,Liquidambar styraciflua,0.52,
American Sycamore,Platanus occidentalis,0.49,1
American Tulipwood,Liriodendron tulipifera,0.42,
American Walnut,Juglans nigra,0.55,
American Western Plane,Platanus occidentalis,0.49,
American White Birch,Betula papyrifera,0.55,
American Whitewood,Liriodendron tulipifera,0.42,
American Yellow Pine,Pinus strobus,0.35,
Americkaans Mahonie,Swietenia macrophylla,0.47,
Amerikaans Mahonie,Swietenia macrophylla,0.47,
Amesclao,Tetragastris altissima,0.74,
Amire,Terminalia ivorensis,0.54,
Amongian,Pygeum turnerianum,0.44,
Amouk,Microberlinia brazzavillensis,0.77,
Ampas,Koompassia malaccensis,0.76,
Ampira,Terminalia ivorensis,0.54,
Amugan,Pygeum turnerianum,0.44,
Amugis,Koordersiodendron pinnatum,0.71,
Amunu,Podocarpus guatemalensis,0.54,
Amunu,Podocarpus neriifolia,0.48,
An Rin,Terminalia superba,0.40,
Anakin,Virola surinamensis,0.51,
Anamenila,Lovoa trichiliodes,0.46,
Anang,Diospyros pyrrhocarpa,0.69,14
Anang Gulod,Diospyros inclusa,0.70,14
Anangibang,Canangium odoratum,0.28,
Anangilan,Canangium odoratum,0.28,
Anangossiti,Terminalia amazonia,0.76,
Anani,Vochysia guianensis,0.52,
Ananiwana,Hyeronyma laxiflora,0.58,
Anapla,Albizia procera,0.55,
Anatolia,Pterygota bequaertii,0.53,
Anatolia,Pterygota macrocarpa,0.54,
Andaman Gurjun,Dipterocarpus grandiflorus,0.68,
Andaman Padauk,Pterocarpus dalbergioides,0.65,3
Andaman Padduik,Pterocarpus indicus,0.57,
Andaman Redwood,Pterocarpus indicus,0.57,
Andaman Thingan,Hopea odorata,0.63,
Andinding,Mitragyna ciliata,0.52,
Andiniding,Mitragyna ciliata,0.52,
Andiroba,Carapa guianensis,0.57,2
Andjung,Didelotia brevipaniculata,0.54,
Andoc,Irvingia gabonensis,0.76,
Andok,Irvingia gabonensis,0.76,
Andok Oba,Irvingia gabonensis,0.76,
Andoum,Antiaris toxicaria,0.35,
Andoung,Didelotia brevipaniculata,0.54,
Aneadwen,Turraeanthus africanus,0.51,
Anegre,Aningeria altissima,0.42,
Anegre,Aningeria dombeyi,0.39,
Anegre,Aningeria robusta,0.42,
Anesita,Melia azedarach,0.51,
An'fekan,Musanga cecropioides,0.23,
Angale,Poga oleosa,0.39,
Angaria,Phoebe hainesiana,0.43,
Angatuan,Alangium meyeri,0.56,
An-gba,Beilschmiedia mannii,0.62,
An-gbere,Irvingia gabonensis,0.76,
Angelim,Amburana cearensis,0.58,
Angelim Rajado,Marmaroxylon racemosum,1.07,
Angelin Rajado,Marmaroxylon racemosum,1.07,
Anglai,Intsia palembanica,0.65,
Ang-Menga-Menga,Staudtia stipitata,0.79,
Angouchi,Terminalia amazonia,0.76,
Angsama,Pterocarpus indicus,0.57,
Angsana,Pterocarpus indicus,0.57,3
Angu,Dipterocarpus basilanicus,0.54,
Angu,Dipterocarpus warburgii,0.53,
Angu,Pterocarpus marsupium,0.71,4
Angu,Pterocarpus vernalis,0.63,
Aniadwen,Turraeanthus africanus,0.51,
Aniba Rosewood,Aniba duckei,0.56,
Anidja,Terminalia ivorensis,0.54,
Aniegre,Aningeria altissima,0.42,
Aniegre,Aningeria dombeyi,0.39,
Aniegre,Aningeria robusta,0.42,
Animebaum,Hymenaea courbaril,0.83,
Aninapla,Albizia procera,0.55,
Aningeria,Aningeria altissima,0.42,
Aningeria,Aningeria dombeyi,0.39,
Aningeria,Aningeria robusta,0.42,
Aningeria Blanc,Aningeria altissima,0.42,
Aningre,Aningeria altissima,0.42,
Aningre,Aningeria dombeyi,0.39,
Aningre,Aningeria robusta,0.42,
Aningueri Blanc,Aningeria dombeyi,0.39,
Aningueri Blanc,Aningeria robusta,0.42,
Anjalli,Artocarpus hirsuta,0.52,
Anjili,Artocarpus hirsuta,0.52,
Anoano,Vitex cofassus,0.67,
Anoi,Aleurites moluccana,0.14,
Anokye,Guibourtia ehie,0.71,4
Anong,Millettia laurentii,0.81,
Anongo,Turpinia ovalifolia,0.36,
Anoniwana,Hieronyma alchorneoides,0.58,
Anono,Xanthophyllum excelsum,0.67,
Ansiopi,Anisoptera costata,0.52,
Antiaris,Antiaris toxicaria,0.35,
Antillen Mahogani,Swietenia mahagoni,0.57,
Antipolo,Artocarpus hirsuta,0.52,
Anubing,Artocarpus ovata,0.46,
Anyadwe,Turraeanthus africanus,0.51,
Anyi,Mansonia altissima,0.55,
Aoka,Tabebuia serratifolia,0.99,
Apa,Afzelia bipindensis,0.62,
Apa,Afzelia pachyloba,0.62,
Apa,Afzelia quanzensis,0.62,
Apapaye,Turraeanthus africanus,0.51,
Apata,Turraeanthus africanus,0.51,
Apaya,Turraeanthus africanus,0.51,
Apegya,Mammea africana,0.69,
Apeya,Turraeanthus africanus,0.51,
Api,Diplodiscus paniculatus,0.62,
Apia,Morus mesozygia,0.71,
Apitan,Pygeum turnerianum,0.44,
Apitong,Dipterocarpus basilanicus,0.54,
Apitong,Dipterocarpus grandiflorus,0.68,
Apitong,Dipterocarpus warburgii,0.53,
Apixuna,Micropholis guianensis,0.67,
Apnit,Shorea negrosensis,0.59,
Apopo,Lovoa trichiliodes,0.46,
Appayia,Turraeanthus africanus,0.51,
Apple,Malus pumila,0.64,
Aprend,Mansonia altissima,0.55,
Apricot,Mammea americana,0.74,
Aprono,Mansonia altissima,0.55,
Aptakas,Calophyllum inophyllum,0.55,
Aquacatillo,Hieronyma alchorneoides,0.58,
Aquacatillo,Hyeronyma laxiflora,0.58,
Aquano de Tabasco,Swietenia macrophylla,0.47,
Ara Pputange,Swietenia macrophylla,0.47,
Arabore,Tabebuia serratifolia,0.99,
Araca,Terminalia amazonia,0.76,
Aracan,Aspidosperma desmanthum,0.65,
Araciuba,Minquartia guianensis,0.83,
Araguaney,Tabebuia serratifolia,0.99,
Arahoni,Tabebuia serratifolia,0.99,
Aralta,Minquartia guianensis,0.83,
Arangen,Aglaia gigantea,0.54,
Arapka,Pterocarpus soyauxii,0.64,
Araputanga,Swietenia macrophylla,0.47,
Araracanga,Aspidosperma desmanthum,0.65,
Ararauba,Aspidosperma desmanthum,0.65,
Arare,Triplochiton scleroxylon,0.32,
Arariba,Sickingia salvadorense,0.65,
Araruet,Pygeum africanum,0.61,
Arata Minquar,Minquartia guianensis,0.83,
Arathanha,Astronium graveolens,0.89,
Arathanha,Astronium graveolens,0.80,
Arati,Hymenaea courbaril,0.83,
